Category,Bus & Train (Backpacker),Private Car with Driver,Self-Drive Tuk Tuk (SK Rides)
Daily Rental/Fare,$3 - $5 (Tickets),$60 - $80 (Driver Fees),$14 - $18 (Rental)
Fuel Costs,Included in ticket,Included in fee,$3 - $5 (approx. 100km)
Last Mile Transport (Station to Hotel),$5 - $10 (Tuk Tuks),$0 (Driver takes you),$0 (Drive yourself)
Driver Tips/Food,$0,$5 - $10 per day,$0
Freedom Factor,Low (Fixed schedules),Medium (Driver's schedule),High (Stop anywhere)
Luggage Space,Low (Carry on lap),High,Medium (3 backpacks)
**Total Daily Cost**,"**$10 - $15**","**$65 - $90**","**$18 - $23**"
**14-Day Trip Cost**,"**~$180**","**~$1,100**","**~$300**"
**Savings vs. Car**,N/A,-,"**Save ~$800**"
